numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07005;20220214000000;99650;-250;8;180;5.500000;284.350000;278.850000;69;20000;0;mq;mq;mq;mq;mq;mq;mq;mq;98800;mq;mq;-2170;mq;mq;mq;mq;280.150000;mq;mq;14.400000;14.400000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07015;20220214000000;99810;-200;8;170;7.000000;284.050000;278.750000;70;43340;0;mq;mq;100;8;2250;mq;mq;mq;99250;mq;mq;-2070;mq;mq;mq;mq;278.850000;mq;mq;10.300000;11.800000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;mq;2340;7;mq;4800;8;mq;6300;mq;mq;mq;
07020;20220214000000;99580;330;1;270;7.900000;282.950000;281.350000;90;12000;61;6;2;100;8;800;37;mq;mq;99470;mq;mq;-1950;mq;mq;mq;mq;mq;mq;mq;10.800000;15.400000;-10;mq;mq;mq;mq;0.200000;1.200000;6.100000;10.500000;11.300000;mq;mq;mq;mq;5;8;800;8;7;1000;mq;mq;mq;mq;mq;mq;
07027;20220214000000;99730;120;3;250;6.400000;281.450000;280.250000;92;33190;58;mq;mq;100;8;1250;mq;mq;mq;98930;mq;mq;-2080;mq;mq;mq;mq;280.450000;mq;mq;9.400000;12.700000;-10;1;0.000000;mq;mq;0.400000;1.800000;2.200000;2.400000;2.400000;mq;mq;mq;mq;8;mq;1380;mq;8;mq;mq;mq;mq;mq;mq;mq;
07037;20220214000000;99700;-220;8;170;8.500000;283.250000;279.050000;75;19880;0;mq;mq;100;8;1250;mq;mq;mq;97900;mq;mq;-2120;mq;mq;mq;mq;278.550000;mq;mq;13.700000;13.700000;-10;mq;0.000000;mq;mq;-0.100000;-0.100000;-0.100000;-0.100000;-0.100000;mq;mq;mq;mq;4;mq;1170;8;mq;1410;mq;8;mq;mq;mq;mq;
07072;20220214000000;100400;-130;7;170;7.200000;281.750000;277.150000;73;20000;0;mq;mq;100;8;1750;mq;mq;mq;99260;mq;mq;-1740;mq;mq;mq;mq;280.450000;mq;mq;10.300000;12.000000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;2;mq;1800;5;mq;2580;8;mq;6780;mq;mq;mq;
07110;20220214000000;100090;200;1;250;3.800000;279.150000;277.350000;88;58040;0;mq;mq;90;7;1750;mq;mq;mq;98900;mq;mq;-1470;mq;mq;mq;mq;278.150000;mq;mq;5.700000;11.300000;-10;2;0.000000;mq;mq;0.200000;1.200000;3.200000;25.400000;35.900000;mq;mq;mq;mq;3;mq;1860;5;mq;4440;7;mq;5640;mq;mq;mq;
07117;20220214000000;99930;270;3;240;5.900000;281.850000;278.450000;79;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;99230;mq;mq;-1600;mq;mq;mq;mq;mq;mq;mq;9.900000;15.900000;-10;mq;mq;mq;mq;0.000000;0.000000;6.100000;18.800000;19.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07130;20220214000000;100060;290;3;240;3.800000;281.150000;280.050000;93;60000;0;mq;mq;100;5;800;mq;mq;mq;99610;mq;mq;-1840;mq;mq;mq;mq;280.950000;mq;mq;6.400000;6.700000;-10;2;0.000000;mq;mq;0.200000;2.800000;8.000000;14.300000;14.300000;mq;mq;mq;mq;1;mq;660;5;mq;1410;6;mq;1620;mq;mq;mq;
07139;20220214000000;99850;-200;6;180;9.400000;283.150000;280.750000;85;8810;0;mq;mq;100;8;450;mq;mq;mq;98130;mq;mq;-2100;mq;mq;mq;mq;277.850000;mq;mq;16.100000;16.800000;-10;1;0.000000;mq;mq;0.000000;0.200000;1.200000;1.200000;1.200000;mq;mq;mq;mq;8;mq;480;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07149;20220214000000;100160;-170;8;180;5.000000;283.750000;279.350000;74;15000;60;6;2;90;7;1250;35;mq;mq;99090;mq;mq;-1960;mq;mq;mq;mq;mq;mq;mq;9.100000;9.800000;-10;0;0.000000;0.000000;-60;0.200000;0.200000;0.200000;0.200000;0.200000;mq;mq;mq;mq;3;8;1100;7;6;1400;mq;mq;mq;mq;mq;mq;
07168;20220214000000;100540;-160;8;170;6.700000;282.750000;276.950000;67;20000;0;mq;mq;100;8;2760;mq;mq;mq;99120;mq;mq;-1700;mq;mq;mq;mq;278.050000;mq;mq;10.300000;11.300000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;6;mq;2760;8;mq;7320;mq;mq;mq;mq;mq;mq;
07181;20220214000000;100820;-130;8;190;10.000000;281.750000;275.750000;66;59340;0;mq;mq;mq;4;2700;mq;mq;mq;96660;mq;mq;-1380;mq;mq;mq;mq;275.850000;mq;mq;16.000000;18.000000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;4;mq;2700;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07190;20220214000000;101110;-110;8;170;2.100000;275.050000;270.150000;70;25180;0;mq;mq;75;6;2250;mq;mq;mq;99240;mq;mq;-1370;mq;mq;mq;mq;270.950000;mq;mq;2.900000;2.900000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;6;mq;2460;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07207;20220214000000;100290;290;1;280;8.300000;281.550000;279.850000;89;9000;61;6;2;100;8;450;37;mq;mq;99770;mq;mq;-1570;mq;mq;mq;mq;mq;mq;mq;14.200000;21.200000;-10;2;mq;mq;mq;0.800000;1.800000;8.900000;13.900000;14.100000;mq;mq;mq;mq;8;7;400;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07222;20220214000000;100290;290;3;240;3.900000;281.550000;280.150000;91;48530;0;mq;mq;100;5;1250;mq;mq;mq;99980;mq;mq;-1710;mq;mq;mq;mq;280.950000;mq;mq;6.200000;7.300000;-10;2;0.000000;mq;mq;0.000000;0.800000;2.800000;4.800000;4.800000;mq;mq;mq;mq;5;mq;1140;6;mq;1560;7;mq;1980;mq;mq;mq;
07240;20220214000000;100260;-90;6;200;9.000000;284.550000;280.850000;78;47730;0;mq;mq;100;8;800;mq;mq;mq;98930;mq;mq;-1850;mq;mq;mq;mq;279.450000;mq;mq;13.700000;18.700000;-10;1;0.000000;mq;mq;0.000000;0.600000;0.600000;0.600000;0.600000;mq;mq;mq;mq;7;mq;690;8;mq;1170;mq;mq;mq;mq;mq;mq;
07255;20220214000000;100580;-90;6;170;5.000000;283.050000;277.250000;67;20000;0;mq;mq;mq;mq;mq;mq;mq;mq;98600;mq;mq;-1650;mq;mq;mq;mq;279.350000;mq;mq;6.800000;10.600000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07280;20220214000000;101010;-120;7;190;7.900000;281.250000;276.650000;73;47840;0;mq;mq;mq;0;mq;mq;mq;mq;98360;mq;mq;-1420;mq;mq;mq;mq;277.250000;mq;mq;13.400000;14.800000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07299;20220214000000;101220;-100;7;160;3.700000;277.350000;271.350000;65;43090;0;mq;mq;mq;1;7260;mq;mq;mq;97890;mq;mq;-1310;mq;mq;mq;mq;273.650000;mq;mq;5.900000;5.900000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;mq;7260;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07314;20220214000000;100530;110;3;290;8.400000;282.850000;280.950000;88;mq;mq;2;mq;mq;mq;mq;mq;mq;mq;100250;mq;mq;-1600;mq;mq;mq;mq;mq;mq;mq;13.600000;21.500000;-10;mq;mq;mq;mq;0.200000;0.200000;2.800000;2.800000;3.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07335;20220214000000;100440;-80;6;190;9.500000;283.250000;281.550000;89;42930;0;mq;mq;100;7;800;mq;mq;mq;99010;mq;mq;-1700;mq;mq;mq;mq;279.250000;mq;mq;14.900000;14.900000;-10;2;0.000000;mq;mq;0.600000;2.000000;2.200000;2.200000;2.200000;mq;mq;mq;mq;5;mq;600;7;mq;1320;7;mq;1740;mq;mq;mq;
07434;20220214000000;100800;0;0;180;6.100000;281.250000;280.350000;94;14580;61;mq;mq;100;8;250;mq;mq;mq;96030;mq;mq;-1380;mq;mq;mq;mq;279.850000;mq;mq;9.500000;11.100000;-10;2;0.000000;mq;mq;0.200000;0.400000;0.400000;0.400000;0.400000;mq;mq;mq;mq;8;mq;240;mq;8;mq;mq;mq;mq;mq;mq;mq;
07460;20220214000000;100910;-120;6;160;9.600000;282.550000;276.750000;67;60000;0;mq;mq;100;8;2250;mq;mq;mq;96980;mq;mq;-1350;mq;mq;mq;mq;277.850000;mq;mq;15.200000;15.400000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;7;mq;2280;8;mq;3120;mq;mq;mq;mq;mq;mq;
07471;20220214000000;mq;-100;8;160;5.900000;277.550000;274.350000;80;20000;0;mq;mq;mq;0;mq;mq;mq;mq;91550;92500;749;-1080;mq;mq;mq;mq;274.850000;mq;mq;10.800000;12.000000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07481;20220214000000;101320;-40;6;170;5.100000;282.850000;277.050000;67;40000;3;1;1;75;5;1250;35;20;11;98440;mq;mq;-1170;mq;mq;mq;mq;mq;mq;mq;8.200000;11.000000;-10;0;0.000000;0.000000;-60;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;5;6;1200;3;0;8000;mq;mq;mq;mq;mq;mq;
07510;20220214000000;100930;160;3;250;9.800000;285.050000;281.750000;80;36810;0;mq;mq;100;7;800;mq;mq;mq;100350;mq;mq;-1240;mq;mq;mq;mq;282.050000;mq;mq;13.400000;13.400000;-10;1;0.000000;mq;mq;-0.100000;-0.100000;0.200000;0.200000;0.200000;mq;mq;mq;mq;7;mq;660;7;mq;2100;8;mq;2580;mq;mq;mq;
07535;20220214000000;100980;30;0;160;4.300000;283.550000;279.850000;78;20000;0;mq;mq;100;8;2250;mq;mq;mq;97880;mq;mq;-1270;mq;mq;mq;mq;280.550000;mq;mq;8.400000;8.400000;-10;2;0.000000;mq;mq;-0.100000;0.200000;0.200000;0.200000;0.200000;mq;mq;mq;mq;2;mq;2160;7;mq;3420;8;mq;4200;mq;mq;mq;
07558;20220214000000;101190;-90;8;140;7.900000;281.050000;278.850000;86;20000;0;mq;mq;mq;mq;mq;mq;mq;mq;92890;mq;mq;-1120;mq;mq;mq;mq;279.350000;mq;mq;11.700000;14.300000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07577;20220214000000;101590;-120;6;230;1.400000;281.950000;280.250000;89;6300;63;mq;mq;mq;mq;mq;mq;mq;mq;100690;mq;mq;-1100;mq;mq;mq;mq;280.650000;mq;mq;2.700000;6.200000;-10;2;0.000000;mq;mq;1.000000;1.600000;2.600000;2.800000;2.800000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07591;20220214000000;mq;120;8;170;1.300000;277.950000;271.450000;63;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;91640;mq;mq;-770;mq;274.650000;mq;284.350000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07607;20220214000000;101040;100;3;270;7.900000;285.150000;281.450000;78;17550;60;mq;mq;100;8;1750;mq;mq;mq;100330;mq;mq;-1130;mq;mq;mq;mq;282.550000;mq;mq;12.500000;12.500000;-10;mq;0.000000;mq;mq;0.200000;0.200000;0.200000;0.200000;0.200000;mq;mq;mq;mq;8;mq;1620;mq;8;mq;mq;mq;mq;mq;mq;mq;
07621;20220214000000;101070;110;3;210;1.800000;282.850000;279.750000;81;38220;0;mq;mq;100;8;2580;mq;mq;mq;96760;mq;mq;-1060;mq;mq;mq;mq;281.950000;mq;mq;2.500000;4.900000;-10;1;0.000000;mq;mq;-0.100000;-0.100000;-0.100000;-0.100000;-0.100000;mq;mq;mq;mq;8;mq;2580;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07627;20220214000000;101090;30;3;310;2.300000;279.850000;275.750000;75;20000;0;mq;mq;100;8;3660;mq;mq;mq;96140;mq;mq;-1120;mq;mq;mq;mq;277.650000;mq;mq;5.000000;5.000000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;mq;3660;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07630;20220214000000;101030;-10;8;100;1.700000;283.550000;280.750000;83;15830;0;mq;mq;100;8;2760;mq;mq;mq;99230;mq;mq;-1260;mq;mq;mq;mq;280.750000;mq;mq;3.200000;3.700000;-10;1;0.000000;mq;mq;-0.100000;-0.100000;-0.100000;-0.100000;-0.100000;mq;mq;mq;mq;3;mq;2760;7;mq;3540;8;mq;4140;mq;8;mq;
07643;20220214000000;101450;-140;8;150;11.800000;285.650000;283.550000;87;11000;0;mq;mq;100;mq;450;mq;mq;mq;101350;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;17.000000;-10;mq;0.000000;mq;mq;mq;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07650;20220214000000;101780;-120;6;120;5.700000;284.650000;280.350000;75;52910;0;mq;mq;100;8;800;mq;mq;mq;101390;mq;mq;-910;mq;mq;mq;mq;281.150000;mq;mq;9.000000;10.800000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;-0.100000;-0.100000;mq;mq;mq;mq;5;mq;720;7;mq;930;8;mq;1140;mq;mq;mq;
